Level	Word	Pinyin1	Pinyin2	Translation
1	一	yī	yi1	one; once; first; structural word between two of the same verb; as soon as; throughout
1	七	qī	qi1	seven
1	三	sān	san1	three
1	上午	shàng wǔ	shang4 wu3	morning
1	下	xià	xia4	down; below
1	下午	xià wǔ	xia4 wu3	afternoon
1	下雨	xià yǔ	xia4 yu3	rain
1	不	bù	bu4	not; no
1	不客气	bú kè qi	bu2 ke4 qi5	you're welcome; impolite
1	东西	dōng xi	dong1 xi5	thing
1	个	gè	ge4	individual; [general measure word]
1	中午	zhōng wǔ	zhong1 wu3	midday
1	中国	zhōng guó	zhong1 guo2	China
1	九	jiǔ	jiu3	nine
1	书	shū	shu1	book
1	买	mǎi	mai3	buy
1	了	le	le5	[makes an exclamation]
1	二	èr	er4	two
1	五	wǔ	wu3	five
1	些	xiē	xie1	some
1	人	rén	ren2	person; people
1	什么	shén me	shen2 me5	what?
1	今天	jīn tiān	jin1 tian1	today
1	他	tā	ta1	he; him
1	会	huì	hui4	to know how to; can; meeting
1	住	zhù	zhu4	to live; stay (a number of nights)
1	你	nǐ	ni3	you
1	做	zuò	zuo4	to do; to be; become (an occupation)
1	儿子	ér zi	er2 zi5	son
1	先生	xiān sheng	xian1 sheng5	Mr; Sir
1	八	bā	ba1	eight
1	六	liù	liu4	six
1	再见	zài jiàn	zai4 jian4	goodbye
1	写	xiě	xie3	to write
1	冷	lěng	leng3	cold
1	出租车	chū zū chē	chu1 zu1 che1	taxi
1	分钟	fēn zhōng	fen1 zhong1	minute
1	前面	qián miàn	qian2 mian4	front
1	北京	běi jīng	bei3 jing1	Beijing
1	医生	yī shēng	yi1 sheng1	doctor
1	医院	yī yuàn	yi1 yuan4	hospital
1	十	shí	shi2	ten
1	去	qù	qu4	to go
1	叫	jiào	jiao4	to call; to be named
1	吃	chī	chi1	to eat
1	同学	tóng xué	tong2 xue2	schoolmate; classmate
1	名字	míng zi	ming2 zi5	given name
1	吗	ma	ma5	[makes a yes; no question]
1	听	tīng	ting1	to listen; hear
1	呢	ne	ne5	[returns; forwards a question]
1	和	hé	he2	and
1	哪	nǎ	na3	which?
1	哪儿	nǎ er	na3 er5	where?
